city_ascii,Latitude,Longitude,country,State,population,id,ID,Icon_ID,Icon_Size,Opacity
Gurgaon,28.456,77.029,India,Haryana,876824,1356836043,walmart potential location,0,50,1
Jalandhar,31.2569,75.4432,India,Punjab,873725,1356494816,walmart potential location,0,50,1
Bhubaneshwar,20.27,85.84,India,Odisha,837737,1356140143,walmart potential location,0,50,1
Kalkaji Devi,28.5485,77.2513,India,Delhi,824177,1356264482,walmart potential location,0,50,1
Mandvi,19.3,72.85,India,Maharashtra,814655,1356843310,walmart potential location,0,50,1
Bhayandar,19.29,72.85,India,Maharashtra,809378,1356019118,walmart potential location,0,50,1
Patiala,30.34,76.38,India,Punjab,763280,1356458416,walmart potential location,0,50,1
Dhulia,20.8997,74.7697,India,Maharashtra,750000,1356224695,walmart potential location,0,50,1
Thiruvananthapuram,8.4875,76.9525,India,Kerala,743691,1356024354,walmart potential location,0,50,1
Bhiwandi,19.2967,73.0631,India,Maharashtra,709665,1356763571,walmart potential location,0,50,1
Saharanpur,29.964,77.546,India,Uttar Pradesh,705478,1356139858,walmart potential location,0,50,1
Warangal,17.9689,79.5941,India,Andhra Pradesh,704570,1356851618,walmart potential location,0,50,1
Shiliguri,26.71,88.43,India,West Bengal,701489,1356724691,walmart potential location,0,50,1
Vellore,12.9165,79.1325,India,Tamil Nadu,696110,1356977661,walmart potential location,0,50,1
Salem,11.65,78.15,India,Tamil Nadu,693236,1356567087,walmart potential location,0,50,1
Kochi,9.97,76.28,India,Kerala,677381,1356707865,walmart potential location,0,50,1
Gorakhpur,26.7637,83.4039,India,Uttar Pradesh,673446,1356190221,walmart potential location,0,50,1
Narela,28.8527,77.0929,India,Delhi,661994,1356542019,walmart potential location,0,50,1
Guntur,16.3008,80.4428,India,Andhra Pradesh,647508,1356374905,walmart potential location,0,50,1
Bhavnagar,21.76,72.15,India,Gujarat,643365,1356982375,walmart potential location,0,50,1
Rasulpur,28.57,77.32,India,Uttar Pradesh,637272,1356018224,walmart potential location,0,50,1
Noida,28.57,77.32,India,Uttar Pradesh,637272,1356002491,walmart potential location,0,50,1
Brahmapur,19.315,84.7941,India,Odisha,634220,1356569354,walmart potential location,0,50,1
Bhangar,22.58,88.42,India,West Bengal,632107,1356177796,walmart potential location,0,50,1
Bhilai,21.3667,81.7167,India,Chhattisgarh,625700,1356098574,walmart potential location,0,50,1
Bhilai,21.21,81.38,India,Chhattisgarh,624700,1356071083,walmart potential location,0,50,1
Mangalore,12.902,74.8253,India,Karnataka,623841,1356972351,walmart potential location,0,50,1
Nagercoil,8.1833,77.4119,India,Tamil Nadu,622759,1356051733,walmart potential location,0,50,1
Cuttack,20.5236,85.7881,India,Odisha,606007,1356872061,walmart potential location,0,50,1
Raurkela,22.2492,84.8828,India,Odisha,600000,1356096816,walmart potential location,0,50,1
Tumkur,13.34,77.1,India,Karnataka,599078,1356033724,walmart potential location,0,50,1
Durgapur,23.55,87.32,India,West Bengal,581409,1356045686,walmart potential location,0,50,1
Dehra Dun,30.345,78.029,India,Uttarakhand,578420,1356970407,walmart potential location,0,50,1
Chapra,25.7848,84.7274,India,Bihar,567123,1356147120,walmart potential location,0,50,1
Asansol,23.68,86.99,India,West Bengal,563917,1356093694,walmart potential location,0,50,1
Kolhapur,16.6917,74.2333,India,Maharashtra,561489,1356110593,walmart potential location,0,50,1
Ajmer,26.4499,74.6399,India,Rajasthan,551101,1356058258,walmart potential location,0,50,1
Nanded,19.15,77.3,India,Maharashtra,550439,1356722310,walmart potential location,0,50,1
Amravati,20.9258,77.7647,India,Maharashtra,549370,1356462099,walmart potential location,0,50,1
Nellore,14.45,79.99,India,Andhra Pradesh,547621,1356280972,walmart potential location,0,50,1
Gulbarga,17.329,76.825,India,Karnataka,533587,1356091187,walmart potential location,0,50,1
Bikaner,28.0167,73.3119,India,Rajasthan,529007,1356026593,walmart potential location,0,50,1
Agartala,23.8333,91.2833,India,Tripura,522613,1356148992,walmart potential location,0,50,1
Loni,28.75,77.28,India,Uttar Pradesh,516082,1356528413,walmart potential location,0,50,1
Ujjain,23.17,75.79,India,Madhya Pradesh,515215,1356050735,walmart potential location,0,50,1
Bhilwara,25.35,74.63,India,Rajasthan,509483,1356077831,walmart potential location,0,50,1
Jhansi,25.4486,78.5696,India,Uttar Pradesh,507000,1356712664,walmart potential location,0,50,1
Ulhasnagar,19.22,73.15,India,Maharashtra,506098,1356375341,walmart potential location,0,50,1
Jammu,32.73,74.87,India,Jammu and Kashmir,502197,1356491738,walmart potential location,0,50,1
Tinnevelly,8.7136,77.7567,India,Tamil Nadu,497826,1356037155,walmart potential location,0,50,1
Purnea,25.778,87.476,India,Bihar,496830,1356486511,walmart potential location,0,50,1
Belgaum,15.85,74.5,India,Karnataka,488157,1356390535,walmart potential location,0,50,1
Jamnagar,22.47,70.07,India,Gujarat,479920,1356104995,walmart potential location,0,50,1
Gaya,24.75,85.01,India,Bihar,474093,1356045727,walmart potential location,0,50,1
Ambattur,13.1143,80.1548,India,Tamil Nadu,466205,1356685959,walmart potential location,0,50,1
Jalgaon,21.004,75.568,India,Maharashtra,460468,1356734842,walmart potential location,0,50,1
Kurnool,15.83,78.05,India,Andhra Pradesh,457633,1356058372,walmart potential location,0,50,1
Udaipur,24.58,73.68,India,Rajasthan,451100,1356266094,walmart potential location,0,50,1
Mathura,27.4925,77.6736,India,Uttar Pradesh,441894,1356066081,walmart potential location,0,50,1
Sangli,16.8667,74.5667,India,Maharashtra,436639,1356921375,walmart potential location,0,50,1
Davangere,14.4666,75.9242,India,Karnataka,435125,1356445061,walmart potential location,0,50,1
Calicut,11.25,75.77,India,Kerala,431560,1356010401,walmart potential location,0,50,1
Akola,20.7,77,India,Maharashtra,425817,1356089496,walmart potential location,0,50,1
Bettiah,26.8014,84.5028,India,Bihar,414453,1356590604,walmart potential location,0,50,1
Shorapur,16.52,76.76,India,Karnataka,412291,1356512373,walmart potential location,0,50,1
Bellary,15.1,76.9167,India,Karnataka,410445,1356209152,walmart potential location,0,50,1
Bhagalpur,25.25,87,India,Bihar,410210,1356760990,walmart potential location,0,50,1
Padiala,30.5667,76.6333,India,Punjab,406192,1356667176,walmart potential location,0,50,1
Delhi Cantonment,28.6,77.1333,India,Delhi,405633,1356526853,walmart potential location,0,50,1
Salt Lake City,22.61,88.4,India,West Bengal,403316,1356720205,walmart potential location,0,50,1
Quilon,8.88,76.6,India,Kerala,397419,1356304110,walmart potential location,0,50,1
Hazaribagh,23.98,85.35,India,Jharkhand,394532,1356960055,walmart potential location,0,50,1
Bhatpara,22.87,88.41,India,West Bengal,386019,1356022456,walmart potential location,0,50,1
Kukatpalli,17.4849,78.4138,India,Andhra Pradesh,385821,1356553747,walmart potential location,0,50,1
Sirur,18.83,74.38,India,Maharashtra,385414,1356926718,walmart potential location,0,50,1
Kakinada,16.9661,82.255,India,Andhra Pradesh,384182,1356573609,walmart potential location,0,50,1
Sardarshahr,28.4401,74.4908,India,Rajasthan,382474,1356932502,walmart potential location,0,50,1
Darbhanga,26.17,85.9,India,Bihar,380125,1356846195,walmart potential location,0,50,1
Panihati,22.69,88.37,India,West Bengal,377347,1356118632,walmart potential location,0,50,1
Rohtak,28.8909,76.5796,India,Haryana,374292,1356162915,walmart potential location,0,50,1
Maler Kotla,30.5167,75.8833,India,Punjab,374000,1356847218,walmart potential location,0,50,1
Korba,22.35,82.68,India,Chhattisgarh,365253,1356093877,walmart potential location,0,50,1
Sikar,27.62,75.15,India,Rajasthan,359293,1356163729,walmart potential location,0,50,1
Karur,10.9601,78.0766,India,Tamil Nadu,358468,1356837900,walmart potential location,0,50,1
Sasaram,24.95,84.03,India,Bihar,358283,1356061200,walmart potential location,0,50,1
Karnal,29.686,76.989,India,Haryana,357334,1356145204,walmart potential location,0,50,1
Chanda,19.95,79.297,India,Maharashtra,355739,1356592607,walmart potential location,0,50,1
Ahmadnagar,19.08,74.73,India,Maharashtra,350859,1356972679,walmart potential location,0,50,1
Dasarhalli,13.0465,77.513,India,Karnataka,349720,1356103194,walmart potential location,0,50,1
Shahjanpur,27.88,79.91,India,Uttar Pradesh,346103,1356415439,walmart potential location,0,50,1
Avadi,13.1097,80.0972,India,Tamil Nadu,345996,1356009111,walmart potential location,0,50,1
Hosur,12.7409,77.8253,India,Tamil Nadu,345000,1356829362,walmart potential location,0,50,1
Cuddapah,14.47,78.82,India,Andhra Pradesh,344893,1356360140,walmart potential location,0,50,1
Rajahmundry,16.98,81.78,India,Andhra Pradesh,341831,1356831716,walmart potential location,0,50,1
Alwar,27.5498,76.6355,India,Rajasthan,341422,1356570855,walmart potential location,0,50,1
Sambalpur,21.47,83.97,India,Odisha,335761,1356772339,walmart potential location,0,50,1
Muzaffarpur,26.1225,85.3906,India,Bihar,333200,1356897425,walmart potential location,0,50,1
Kamarhati,22.6686,88.3704,India,West Bengal,330211,1356676559,walmart potential location,0,50,1
Bijapur,16.83,75.71,India,Karnataka,327427,1356499139,walmart potential location,0,50,1
Tharad,24.3926,71.6248,India,Gujarat,327289,1356055796,walmart potential location,0,50,1
Ratnagiri,16.9944,73.3,India,Maharashtra,327120,1356990175,walmart potential location,0,50,1
Rampur,28.8,79,India,Uttar Pradesh,325248,1356666569,walmart potential location,0,50,1
Shimoga,13.9333,75.5667,India,Karnataka,322650,1356016156,walmart potential location,0,50,1
Junagadh,21.52,70.463,India,Gujarat,320250,1356057451,walmart potential location,0,50,1
Hapur,28.7309,77.7757,India,Uttar Pradesh,317004,1356820012,walmart potential location,0,50,1
Trichur,10.52,76.21,India,Kerala,315596,1356589298,walmart potential location,0,50,1
Barddhaman,23.2333,87.8667,India,West Bengal,314265,1356062166,walmart potential location,0,50,1
Panvel,18.9944,73.1139,India,Maharashtra,311434,1356424574,walmart potential location,0,50,1
Nizamabad,18.672,78.094,India,Andhra Pradesh,311152,1356242168,walmart potential location,0,50,1
Parbhani,19.27,76.78,India,Maharashtra,307170,1356632842,walmart potential location,0,50,1
Hisar,29.15,75.7,India,Haryana,307024,1356004790,walmart potential location,0,50,1
Oulgaret,11.957,79.7737,India,Puducherry,300104,1356242623,walmart potential location,0,50,1
Maldah,25.0119,88.1433,India,West Bengal,300088,1356350335,walmart potential location,0,50,1
Bada Barabil,22.12,85.4,India,Odisha,300000,1356293872,walmart potential location,0,50,1
Bihar,25.197,85.518,India,Bihar,297268,1356002333,walmart potential location,0,50,1
Sikandarabad,28.4512,77.6955,India,Uttar Pradesh,294858,1356989226,walmart potential location,0,50,1
Panipat,29.3875,76.97,India,Haryana,294292,1356526780,walmart potential location,0,50,1
Aizawl,23.7272,92.7178,India,Mizoram,293416,1356342768,walmart potential location,0,50,1
Bali,22.65,88.34,India,West Bengal,293373,1356113138,walmart potential location,0,50,1
Karimnagar,18.4386,79.1288,India,Andhra Pradesh,289821,1356578937,walmart potential location,0,50,1
Dewas,22.96,76.06,India,Madhya Pradesh,289550,1356065731,walmart potential location,0,50,1
Sonipat,28.99,77.022,India,Haryana,289333,1356648808,walmart potential location,0,50,1
Sonpur,25.7,85.18,India,Bihar,288102,1356149014,walmart potential location,0,50,1
Ichalkaranji,16.7,74.47,India,Maharashtra,287570,1356651502,walmart potential location,0,50,1
Bhatinda,30.23,74.9519,India,Punjab,285813,1356343054,walmart potential location,0,50,1
Jalna,19.841,75.8864,India,Maharashtra,285577,1356730545,walmart potential location,0,50,1
Sannai,24.5984,80.8281,India,Madhya Pradesh,283004,1356009968,walmart potential location,0,50,1
Satna,24.6005,80.8322,India,Madhya Pradesh,280222,1356008295,walmart potential location,0,50,1
Mau,25.9417,83.5611,India,Uttar Pradesh,278745,1356238859,walmart potential location,0,50,1
Barasat,22.72,88.48,India,West Bengal,278435,1356644721,walmart potential location,0,50,1
Farrukhabad,27.39,79.581,India,Uttar Pradesh,275754,1356776384,walmart potential location,0,50,1
Saugor,23.83,78.71,India,Madhya Pradesh,274556,1356781800,walmart potential location,0,50,1
Ratlam,23.334,75.037,India,Madhya Pradesh,273892,1356241663,walmart potential location,0,50,1
Handwara,34.4,74.28,India,Jammu and Kashmir,269311,1356080179,walmart potential location,0,50,1
Drug,21.19,81.28,India,Chhattisgarh,268806,1356910418,walmart potential location,0,50,1
Anantapur,14.68,77.599,India,Andhra Pradesh,267161,1356296545,walmart potential location,0,50,1
Imphal,24.8074,93.9384,India,Manipur,264986,1356107172,walmart potential location,0,50,1
Arrah,25.5514,84.6603,India,Bihar,261430,1356085605,walmart potential location,0,50,1
Etawah,26.77,79.03,India,Uttar Pradesh,256838,1356241312,walmart potential location,0,50,1
Malkajgiri,17.4519,78.5362,India,Andhra Pradesh,255899,1356092535,walmart potential location,0,50,1
Gadda Madiral,18.7519,79.5133,India,Andhra Pradesh,252693,1356055274,walmart potential location,0,50,1
Bharatpur,27.22,77.48,India,Rajasthan,252342,1356168278,walmart potential location,0,50,1
Begusarai,25.42,86.13,India,Bihar,252008,1356619346,walmart potential location,0,50,1
Junagarh,19.8599,82.9338,India,Chhattisgarh,251842,1356057455,walmart potential location,0,50,1
New Delhi,28.6139,77.209,India,Delhi,249998,1356215164,walmart potential location,0,50,1
Tiruvottiyur,13.16,80.3,India,Tamil Nadu,249446,1356964110,walmart potential location,0,50,1
Ramnagar,27.17,84.32,India,Bihar,249102,1356673115,walmart potential location,0,50,1
Gandhidham,23.08,70.13,India,Gujarat,248705,1356140913,walmart potential location,0,50,1
Krishnarajpur,13.012,77.6951,India,Karnataka,245797,1356007149,walmart potential location,0,50,1
Nelamangala,13.102,77.374,India,Karnataka,245624,1356943451,walmart potential location,0,50,1
Singrauliya,24.11,82.39,India,Madhya Pradesh,244450,1356985698,walmart potential location,0,50,1
Puducherry,11.9167,79.8167,India,Puducherry,244377,1356368903,walmart potential location,0,50,1
Ramgundam,18.7639,79.475,India,Andhra Pradesh,242979,1356590864,walmart potential location,0,50,1
Pandharpur,17.6778,75.3278,India,Maharashtra,242515,1356852072,walmart potential location,0,50,1
Masaurhi Buzurg,25.35,85.02,India,Bihar,241216,1356191575,walmart potential location,0,50,1
Katihar,25.53,87.58,India,Bihar,240565,1356099841,walmart potential location,0,50,1
Byatarayanpur,13.0659,77.5922,India,Karnataka,239902,1356590852,walmart potential location,0,50,1
Tuticorin,8.7642,78.1348,India,Tamil Nadu,237830,1356751023,walmart potential location,0,50,1
Ganganagar,29.92,73.88,India,Rajasthan,237780,1356431302,walmart potential location,0,50,1
Rewa,24.53,81.3,India,Madhya Pradesh,236519,1356642255,walmart potential location,0,50,1
Uluberiya,22.47,88.11,India,West Bengal,235345,1356354610,walmart potential location,0,50,1
Bulandshahr,28.4069,77.8497,India,Uttar Pradesh,235310,1356067648,walmart potential location,0,50,1
Cannanore,11.8689,75.3555,India,Kerala,232486,1356147157,walmart potential location,0,50,1
Raichur,16.2,77.37,India,Karnataka,232456,1356217280,walmart potential location,0,50,1
Pali,25.77,73.33,India,Rajasthan,229956,1356212172,walmart potential location,0,50,1
Songadh,21.167,73.564,India,Gujarat,229782,1356550633,walmart potential location,0,50,1
Haridwar,29.945,78.163,India,Uttarakhand,228832,1356090741,walmart potential location,0,50,1
Vizianagaram,18.1159,83.406,India,Andhra Pradesh,228720,1356212761,walmart potential location,0,50,1
Pathardi,19.17,75.18,India,Maharashtra,228279,1356126088,walmart potential location,0,50,1
Khatima,28.92,79.97,India,Uttarakhand,227226,1356442679,walmart potential location,0,50,1
Petlad,22.47,72.8,India,Gujarat,227031,1356943594,walmart potential location,0,50,1
Nadiad,22.69,72.86,India,Gujarat,225132,1356992385,walmart potential location,0,50,1
Tanjore,10.787,79.1378,India,Tamil Nadu,222943,1356599194,walmart potential location,0,50,1
Tiptur,13.26,76.48,India,Karnataka,222749,1356059008,walmart potential location,0,50,1
Kichha,28.92,79.5,India,Uttarakhand,221965,1356016973,walmart potential location,0,50,1
Katri,23.48,80.4,India,Madhya Pradesh,221875,1356636912,walmart potential location,0,50,1
Sambhal,28.58,78.55,India,Uttar Pradesh,220813,1356376216,walmart potential location,0,50,1
Anand,22.556,72.951,India,Gujarat,218486,1356044073,walmart potential location,0,50,1
Naihati,22.89,88.42,India,West Bengal,217900,1356715598,walmart potential location,0,50,1
Yamunanagar,30.133,77.288,India,Haryana,216628,1356846120,walmart potential location,0,50,1
Pallavaram,12.9675,80.1491,India,Tamil Nadu,215417,1356057661,walmart potential location,0,50,1
Secunderabad,17.4399,78.4983,India,Andhra Pradesh,213698,1356779437,walmart potential location,0,50,1
Monghyr,25.381,86.465,India,Bihar,213101,1356280102,walmart potential location,0,50,1
Gokak,16.1667,74.8333,India,Karnataka,213000,1356269894,walmart potential location,0,50,1
Bhadravati,13.8485,75.705,India,Karnataka,212073,1356466241,walmart potential location,0,50,1
Nandyal,15.48,78.48,India,Andhra Pradesh,211424,1356671879,walmart potential location,0,50,1
Panchkula,30.74,76.8,India,Haryana,211355,1356152025,walmart potential location,0,50,1
Burhanpur,21.3,76.23,India,Madhya Pradesh,210891,1356857493,walmart potential location,0,50,1
Kiratot,32.8376,76.2296,India,Himachal Pradesh,210406,1356118618,walmart potential location,0,50,1
Kapra,17.4859,78.5651,India,Andhra Pradesh,209882,1356304297,walmart potential location,0,50,1
Kharagpur,22.3302,87.3237,India,West Bengal,207604,1356305803,walmart potential location,0,50,1
Robertsonpet,12.9563,78.2754,India,Karnataka,207350,1356245899,walmart potential location,0,50,1
Dindigul,10.35,77.95,India,Tamil Nadu,207327,1356106153,walmart potential location,0,50,1
Shimla,31.1033,77.1722,India,Himachal Pradesh,206575,1356962932,walmart potential location,0,50,1
Hospet,15.2689,76.3909,India,Karnataka,206167,1356241463,walmart potential location,0,50,1
Ingraj Bazar,25.0044,88.1458,India,West Bengal,205521,1356142829,walmart potential location,0,50,1
Ongole,15.506,80.049,India,Andhra Pradesh,204746,1356385136,walmart potential location,0,50,1
Betigeri,15.443,75.6442,India,Karnataka,204576,1356503334,walmart potential location,0,50,1
Ellore,16.7117,81.1031,India,Andhra Pradesh,203780,1356931882,walmart potential location,0,50,1
Deoghar,24.48,86.7,India,Jharkhand,203116,1356054191,walmart potential location,0,50,1
Chhindwara,22.057,78.9396,India,Madhya Pradesh,202688,1356167692,walmart potential location,0,50,1
Lingampalli,17.4865,78.317,India,Andhra Pradesh,202440,1356038214,walmart potential location,0,50,1
Mokameh,25.3898,85.9191,India,Bihar,202411,1356053965,walmart potential location,0,50,1
Puri,19.8106,85.8314,India,Odisha,201026,1356558409,walmart potential location,0,50,1
Haldia,22.0667,88.0698,India,West Bengal,200827,1356491171,walmart potential location,0,50,1
Khandwa,21.82,76.35,India,Madhya Pradesh,200738,1356696980,walmart potential location,0,50,1
Pulimaddi,15.48,78.48,India,Andhra Pradesh,200516,1356431352,walmart potential location,0,50,1
Morena,26.5,78,India,Madhya Pradesh,200483,1356019851,walmart potential location,0,50,1
Drabar,33.43,75.09,India,Jammu and Kashmir,199429,1356426484,walmart potential location,0,50,1
Amroha,28.9044,78.4675,India,Uttar Pradesh,198471,1356146062,walmart potential location,0,50,1
Chakradharpur,22.7,85.63,India,Jharkhand,197953,1356082013,walmart potential location,0,50,1
Bhiwani,28.78,76.13,India,Haryana,197662,1356780092,walmart potential location,0,50,1
Bhind,26.5587,78.7871,India,Madhya Pradesh,197585,1356023125,walmart potential location,0,50,1
Khammam,17.2473,80.1514,India,Andhra Pradesh,196283,1356007170,walmart potential location,0,50,1
Madhyamgram,22.7,88.45,India,West Bengal,196127,1356501701,walmart potential location,0,50,1
Ghandinagar,23.223,72.65,India,Gujarat,195891,1356140914,walmart potential location,0,50,1
Baharampur,24.1,88.25,India,West Bengal,195223,1356612685,walmart potential location,0,50,1
Morbi,22.82,70.83,India,Gujarat,194947,1356746232,walmart potential location,0,50,1
Pandhurna,21.6,78.52,India,Madhya Pradesh,193818,1356533618,walmart potential location,0,50,1
Fatehpur,25.93,80.8,India,Uttar Pradesh,193193,1356059135,walmart potential location,0,50,1
Rae Bareli,26.2236,81.2403,India,Uttar Pradesh,191316,1356437243,walmart potential location,0,50,1
Orai,25.98,79.47,India,Uttar Pradesh,190575,1356928689,walmart potential location,0,50,1
Mahbubnagar,16.7488,78.0035,India,Andhra Pradesh,190400,1356014528,walmart potential location,0,50,1
Rajendranagar,17.3198,78.4031,India,Andhra Pradesh,189076,1356684638,walmart potential location,0,50,1
Bhusaval,21.05,75.77,India,Maharashtra,187421,1356338789,walmart potential location,0,50,1
Bahraigh,27.575,81.594,India,Uttar Pradesh,186223,1356833304,walmart potential location,0,50,1
Umreth,22.6986,73.1156,India,Gujarat,185320,1356307988,walmart potential location,0,50,1
Mahesana,23.6,72.4,India,Gujarat,184991,1356719082,walmart potential location,0,50,1
Alasandigutta,15.63,77.28,India,Andhra Pradesh,184625,1356256634,walmart potential location,0,50,1
Raiganj,25.62,88.12,India,West Bengal,183612,1356159126,walmart potential location,0,50,1
Batala,31.8186,75.2028,India,Punjab,183314,1356786750,walmart potential location,0,50,1
Kottayam,9.5947,76.4856,India,Kerala,182927,1356307269,walmart potential location,0,50,1
Sirsa,29.5333,75.0167,India,Haryana,182534,1356966764,walmart potential location,0,50,1
Dinapore,25.6225,85.0417,India,Bihar,182241,1356729186,walmart potential location,0,50,1
Tambaram,12.831,80.0459,India,Tamil Nadu,182071,1356045454,walmart potential location,0,50,1
Karaikkudi,10.0735,78.7732,India,Tamil Nadu,181851,1356512763,walmart potential location,0,50,1
Shrirampur,22.75,88.34,India,West Bengal,181842,1356021505,walmart potential location,0,50,1
Himatnagar,23.6,72.95,India,Gujarat,181137,1356123042,walmart potential location,0,50,1
Guna,24.65,77.32,India,Madhya Pradesh,180935,1356056608,walmart potential location,0,50,1
Jaunpur,25.73,82.68,India,Uttar Pradesh,180362,1356646586,walmart potential location,0,50,1
Mahad,18.083,73.417,India,Maharashtra,180191,1356857934,walmart potential location,0,50,1
Madanapalle,13.55,78.5,India,Andhra Pradesh,180180,1356232508,walmart potential location,0,50,1
Shivpuri,25.43,77.65,India,Madhya Pradesh,179977,1356583527,walmart potential location,0,50,1
Hugli,22.9089,88.3967,India,West Bengal,179931,1356109548,walmart potential location,0,50,1
Unnao,26.55,80.49,India,Uttar Pradesh,177658,1356012340,walmart potential location,0,50,1
Alleppey,9.49,76.33,India,Kerala,177079,1356293762,walmart potential location,0,50,1
